,title,genre,rating,rating_count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
510,The Scarlet Letter,Movie Books,3.4,1,0.07450000196695328,0.1379999965429306,0.061900001019239426,0.12070000171661377,0.20970000326633453,0.1307000070810318,0.053300000727176666,0.21130000054836273
511,Finished,Movie Books,4.18,1,0.09290000051259995,0.13429999351501465,0.05689999833703041,0.16249999403953552,0.15410000085830688,0.13279999792575836,0.06769999861717224,0.1987999975681305
512,The Quest of the Sacred Slipper,Detective Fiction,3.42,96,0.094200000166893,0.12849999964237213,0.06449999660253525,0.1737000048160553,0.11479999870061874,0.14399999380111694,0.07289999723434448,0.20739999413490295
513,The Insidious Dr. Fu Manchu,Detective Fiction,3.85,140,0.08820000290870667,0.1193000003695488,0.07100000232458115,0.16120000183582306,0.1274999976158142,0.1467999964952469,0.0746999979019165,0.21130000054836273
514,The Hand Of Fu-Manchu,Detective Fiction,3.4,408,0.08250000327825546,0.12839999794960022,0.06239999830722809,0.14880000054836273,0.13220000267028809,0.1404999941587448,0.08110000193119049,0.2240999937057495
515,The Devil Doctor,Detective Fiction,3.4,408,0.09629999846220016,0.11840000003576279,0.06840000301599503,0.16349999606609344,0.12790000438690186,0.15070000290870667,0.07259999960660934,0.2021999955177307
516,The Golden Scorpion,Detective Fiction,3.41,120,0.09210000187158585,0.13099999725818634,0.06520000100135803,0.15760000050067902,0.13130000233650208,0.13349999487400055,0.08150000125169754,0.2078000009059906
517,Brood of the Witch-Queen,Detective Fiction,3.42,397,0.10000000149011612,0.11919999867677689,0.08150000125169754,0.17509999871253967,0.13369999825954437,0.13989999890327454,0.06909999996423721,0.18140000104904175
518,The Teeth of the Tiger,Detective Fiction,3.65,1,0.10980000346899033,0.1216999962925911,0.06689999997615814,0.1737000048160553,0.11289999634027481,0.13930000364780426,0.07739999890327454,0.1981000006198883
519,The Eight Strokes of the Clock,Detective Fiction,3.96,549,0.10639999806880951,0.13040000200271606,0.06340000033378601,0.14630000293254852,0.14949999749660492,0.13449999690055847,0.07159999758005142,0.19789999723434448
520,Murder in the Gunroom,Detective Fiction,3.42,295,0.11959999799728394,0.12080000340938568,0.0746999979019165,0.1712999939918518,0.11289999634027481,0.13580000400543213,0.06669999659061432,0.19820000231266022
521,The Hollow Needle; Further adventures of Arsene Lupin,Detective Fiction,3.6,20,0.08879999816417694,0.14309999346733093,0.05090000107884407,0.14390000700950623,0.1492999941110611,0.13519999384880066,0.07919999957084656,0.20970000326633453
